F1;F2;F3;F4;Rep;M_OF;M_TIME(s);CBC_OF;CBC_TIME;CBC_#FEASIBILITY CUTS;CBC_# PENALTY CUTS;;;;;;;;
3;400;9;A;1;361;0,266;361;0,462;0;0;;;;;;;;
3;400;9;A;2;306;0,511;306;0,106;0;0;;;;;;;;
3;400;9;A;3;271;1,052;271;1,646;0;4;;;;;;;;
3;400;6;A;4;263;0,556;263;0,179;0;1;;;;;;;;
3;400;9;A;5;307;4,706;307;4,633;0;4;;;;;;;;
3;400;7;A;6;270;1,139;270;0,057;0;0;;;;;;;;
3;400;8;A;7;251;0,726;251;0,188;0;1;;;;;;;;
3;400;7;A;8;292;1,5;292;0,023;0;0;;;;;;;;
3;400;10;A;9;277;0,846;277;0,197;0;0;;;;;;;;
3;400;8;A;10;249;1,141;249;0,551;0;0;;;;;;;;
3;500;8;A;1;293;0,137;293;0,023;0;0;;;;;;;;
3;500;8;A;2;314;3,926;314;2,367;0;1;;;;;;;;
3;500;9;A;3;291;0,995;291;0,214;0;0;;;;;;;;
3;500;10;A;4;389;3,67;389;2,567;0;1;;;;;;;;
3;500;9;A;5;227;1,296;227;2,066;0;1;;;;;;;;
3;500;9;A;6;258;5,079;258;1,941;0;2;;;;;;;;
3;500;10;A;7;345;1,147;345;0,38;0;0;;;;;;;;
3;500;10;A;8;326;2,29;326;0,404;0;1;;;;;;;;
3;500;10;A;9;401;8,107;401;4,194;0;1;;;;;;;;
3;500;8;A;10;275;0,777;275;0,026;0;0;;;;;;;;
3;600;12;A;1;375;6,895;375;3,288;0;1;;;;;;;;
3;600;9;A;2;323;6,134;323;1,129;0;1;;;;;;;;
3;600;10;A;3;326;2,539;326;0,891;0;0;;;;;;;;
3;600;10;A;4;500;6,395;500;3,414;0;1;;;;;;;;
3;600;11;A;5;314;2,383;314;0,355;0;0;;;;;;;;
3;600;10;A;6;492;6,246;492;1,185;0;1;;;;;;;;
3;600;10;A;7;380;0,177;380;0,035;0;0;;;;;;;;
3;600;12;A;8;441;3,486;441;0,558;0;0;;;;;;;;
3;600;11;A;9;393;2,699;393;4,613;0;1;;;;;;;;
3;600;10;A;10;304;9,894;304;4,23;0;2;;;;;;;;
5;400;10;A;1;270;3,538;270;2,777;0;1;;;;;;;;
5;400;9;A;2;333;1,794;333;1,131;0;1;;;;;;;;
5;400;7;A;3;283;3,785;283;4,155;0;2;;;;;;;;
5;400;8;A;4;348;6,13;348;4,569;0;3;;;;;;;;
5;400;8;A;5;159;9,39;159;30,978;0;17;;;;;;;;
5;400;6;A;6;189;4,407;189;2,21;0;4;;;;;;;;
5;400;9;A;7;318;6,747;318;6,783;0;5;;;;;;;;
5;400;6;A;8;176;0,361;176;0,762;0;1;;;;;;;;
5;400;6;A;9;258;5,021;258;8,221;0;4;;;;;;;;
5;400;7;A;10;227;3,823;227;5,949;0;5;;;;;;;;
5;500;9;A;1;274;5,956;274;9,639;0;5;;;;;;;;
5;500;8;A;2;282;10,781;282;20,569;0;8;;;;;;;;
5;500;12;A;3;473;9,799;473;23,783;0;3;;;;;;;;
5;500;8;A;4;197;8,507;197;35,621;0;12;;;;;;;;
5;500;9;A;5;336;11,064;336;17,523;0;5;;;;;;;;
5;500;9;A;6;455;9,849;455;12,337;0;4;;;;;;;;
5;500;10;A;7;424;24,425;424;47,643;0;13;;;;;;;;
5;500;9;A;8;232;9,872;232;12,684;0;5;;;;;;;;
5;500;10;A;9;416;8,13;416;7,453;0;3;;;;;;;;
5;500;10;A;10;438;6,99;438;4,596;0;1;;;;;;;;
5;600;12;A;1;658;85,185;658;58,614;0;2;;;;;;;;
5;600;12;A;2;492;17,399;492;96,391;0;4;;;;;;;;
5;600;10;A;3;561;20,272;561;149,643;0;7;;;;;;;;
5;600;9;A;4;321;29,863;321;16,623;0;1;;;;;;;;
5;600;10;A;5;358;32,831;358;51,25;0;1;;;;;;;;
5;600;12;A;6;619;31,639;619;14,488;0;0;;;;;;;;
5;600;12;A;7;551;9,856;551;16,271;0;2;;;;;;;;
5;600;10;A;8;540;14,931;540;2,209;0;0;;;;;;;;
5;600;9;A;9;478;0,292;478;0,743;0;0;;;;;;;;
5;600;12;A;10;544;453,185;544;258,359;0;3;;;;;;;;
10;400;6;A;1;244;42,443;244;279,054;0;10;;;;;;;;
10;400;7;A;2;340;110,536;340;56,776;0;6;;;;;;;;
10;400;9;A;3;298;572,343;298;976,93;0;32;;;;;;;;
10;400;8;A;4;361;49,24;147;0,05;0;0;;;;;;;;
10;400;7;A;5;164;21,453;164;74,685;0;8;;;;;;;;
10;400;7;A;6;271;19,055;271;55,864;0;4;;;;;;;;
10;400;7;A;7;302;51,792;302;177,921;0;8;;;;;;;;
10;400;7;A;8;180;9,849;180;13,128;0;4;;;;;;;;
10;400;7;A;9;157;48,608;157;293,32;0;26;;;;;;;;
10;400;7;A;10;201;42,747;201;62,157;0;12;;;;;;;;
10;500;9;A;1;254;40,224;254;917,476;0;25;;;;;;;;
10;500;8;A;2;296;126,055;296;642,622;0;16;;;;;;;;
